AID|Romaji|Kanji|English|Year|EpsTotal|Eps|EpsSpec|Rating|TmpRating|Vote|TmpVote|Reviews|ReviewsRating|TypeID|TypeName|isAdult
3030|Gekijouban Naruto: Dai Gekitotsu! Maboroshi no Chitei Iseki Datte ba yo!|劇場版 NARUTO 大激突! 幻の地底遺跡だってばよ|Naruto the Movie 2: Legend of the Stone of Gelel|2005|2|1|1|3.81|6.55|4085|4139|5|5.46|4|Movie|0
1456|Gekijouban Naruto: Dai Katsugeki! Yuki Hime Ninpou Chou Datte ba yo!|劇場版 NARUTO 大活劇! 雪姫忍法帖だってばよ!!|Naruto the Movie: Ninja Clash in the Land of Snow|2004|7|1|4|4.53|6.86|5291|5352|5|6.53|4|Movie|0
4421|Gekijouban Naruto: Dai Koufun! Mikazukijima no Animal Panic Datte ba yo!|劇場版 NARUTO 大興奮! みかづき島のアニマル騒動[パニック]だってばよ|Naruto the Movie 3: Guardians of the Crescent Moon Kingdom|2006|2|1|1|3.11|6.13|3347|3408|2|2.58|4|Movie|0
4388|Gekijouban Shakugan no Shana|劇場版 灼眼のシャナ|Shakugan no Shana: The Movie|2007|15|1|14|5.78|7.34|3117|3157|1|6.50|4|Movie|0
8694|Gekijouban Toaru Majutsu no Index: Endymion no Kiseki|劇場版 とある魔術の禁書目録[インデックス] エンデュミオンの奇蹟|A Certain Magical Index the Movie: The Miracle of Endymion|2013|13|1|12|6.04|7.08|1993|2007|0|-|4|Movie|0
568|Geneshaft|ジーンシャフト||2001|16|13|3|4.06|6.56|1504|1511|10|6.39|2|TV Series|0
1783|Genshiken|げんしけん|Genshiken: The Society for the Study of Modern Visual Culture|2004|26|12|14|7.65|8.09|8129|8192|8|8.58|2|TV Series|0
4782|Genshiken (2006)|げんしけん (2006)|Genshiken (2006)|2006-2007|8|3|5|7.60|7.93|4245|4267|2|8.08|3|OVA|0
5210|Genshiken 2|げんしけん2|Genshiken 2: The Society for the Study of Modern Visual Culture|2007|23|12|11|7.74|8.00|4630|4661|2|8.41|2|TV Series|0
9676|Genshiken Nidaime|げんしけん 二代目|Genshiken Second Generation|2013|32|13|19|6.67|7.21|1440|1447|0|-|2|TV Series|0
8624|Gensou Mangekyou: The Memories of Phantasm|幻想万華鏡 ~The Memories Of Phantasm~||2011-2023|59|18|41|7.13|7.45|184|185|0|-|3|OVA|0
61|Ghost in the Shell|GHOST IN THE SHELL|Ghost in the Shell|1995|12|1|6|8.41|8.35|13131|13254|11|8.58|4|Movie|0
1085|Gilgamesh|ギルガメッシュ|Gilgamesh: Whose Side Are You On?|2003-2004|28|26|2|4.39|6.58|1727|1752|6|7.16|2|TV Series|0
10709|Girl Friend (Kari)|ガールフレンド(仮)|Girl Friend Beta|2014|15|12|3|2.65|5.08|551|558|0|-|2|TV Series|0
1805|Girls Bravo: First Season|GIRLSブラボー first season|Girls Bravo|2004|14|11|3|4.17|6.76|4453|4495|7|6.59|2|TV Series|0
10506|Glasslip|グラスリップ|Glasslip|2014|19|13|6|2.24|5.02|1431|1453|3|6.60|2|TV Series|0
10069|Gokukoku no Brynhildr|極黒のブリュンヒルデ|Brynhildr in the Darkness|2014|23|13|10|4.19|6.29|2812|2834|3|5.11|2|TV Series|0
510|Green Green|グリーングリーン||2002|1|1|0|2.42|5.77|3114|3158|2|3.41|3|OVA|0
834|Green Green (2003)|グリーングリーン (2003)|Green Green (2003)|2003|26|12|14|4.22|6.81|5687|5774|9|6.16|2|TV Series|0
9749|Grisaia no Kajitsu|グリザイアの果実 -LE FRUIT DE LA GRISAIA-|The Fruit of Grisaia|2014|26|13|12|5.73|6.90|3253|3270|2|5.99|2|TV Series|0
191|GTO|GTO(グレート・ティーチャー・オニヅカ)|Great Teacher Onizuka|1999-2000|51|43|8|8.74|8.71|14002|14415|27|8.63|2|TV Series|0
908|Gundam-W: Endless Waltz|GUNDAM-W Endless Waltz|Gundam Wing Endless Waltz OVA|1997|15|3|12|6.49|7.38|1335|1347|0|-|3|OVA|0
9327|Gunnm 3D Special|銃夢-3Dスペシャル-||2000|1|1|0|2.41|4.41|221|224|0|-|3|OVA|0
1002|Gunslinger Girl.|GUNSLINGER GIRL.|Gunslinger Girl|2003-2004|15|13|2|6.46|7.55|6367|6422|12|7.81|2|TV Series|0
2835|Hachimitsu to Clover|ハチミツとクローバー|Honey and Clover|2005|34|24|9|8.18|8.35|7275|7390|17|8.98|2|TV Series|0
979|Hagane no Renkinjutsushi|鋼の錬金術師|Fullmetal Alchemist|2003-2004|141|51|74|8.29|8.58|20902|21614|38|8.73|2|TV Series|0
6107|Hagane no Renkinjutsushi (2009)|鋼の錬金術師 (2009)|Fullmetal Alchemist: Brotherhood|2009-2010|102|64|37|9.55|8.96|13653|13947|11|9.27|2|TV Series|0
271|Haibane Renmei|灰羽連盟|Haibane Renmei|2002|21|13|8|8.22|8.23|8376|8459|14|7.67|2|TV Series|0
7874|Hanasaku Iroha|花咲くいろは|Hanasaku Iroha: Blossoms for Tomorrow|2011|48|26|22|7.77|7.86|4119|4137|2|6.66|2|TV Series|0
8482|Haramasete Seiryuu-kun!|孕ませて青龍君!||2011-2012|4|2|2|4.85|6.02|309|312|0|-|3|OVA|1
