AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
6662|147328|171|Naval Battle||海戦[ナバルバトル]|25|02.03.2013 00:00|7.72|5|0|3
6662|147327|172|A Parfum for You||君に捧げる香り[パルファム]|25|09.03.2013 00:00|6.73|5|0|3
6662|147828|173|Battle of Dragon Slayers!||バトル・オブ・ドラゴンスレイヤー|25|16.03.2013 00:00|9.02|5|0|3
6662|147827|174|Four Dragons||四人の竜[ドラゴン]|25|23.03.2013 00:00|9.56|5|0|3
6662|147826|175|Natsu vs. the Twin Dragons||ナツvs.双竜|25|30.03.2013 00:00|10.00|6|0|3
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
6662|108793|7172|654992|296901262|ab9fd4b8e95a9278ba40fbec4219f62b|c50cc9bae9dd753e2e78abb86707d344|a77bcf5328fe2ea834820e1755beca99964004e8|a08919f3|1465|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
6662|108792|7172|658626|298195890|cb72723a3610120885d21095a8f89bf5|5477cb7d4bf88c4ea2bc4c76dec50267|054da83eb9daddbc61ca540d5b06b18484b406d8|e2d1e055|1465|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
6662|108791|7172|660928|296370365|5d5da9a32d31324b27a55c2a613a0b95|0430a917294353db37bee924a017b9f2|3465d4d7916393b60b82dca017afb452c20584d9|512cedf8|1465|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
6662|108842|7172|663299|297277504|e3c906e2366a6ff7bc73c5a54a942fa8|eed5ba4a9c5d4f3adc5a249e0dfa4181|ee247b38f63a71c28589f3a68659a30077977d5a|572bcc9e|1465|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
6662|108836|7172|665506|295721069|f2e4068587e352520f92b4015cc97b97|658bd1b8e5ac965bbb7f863ffd232f9a|9ce4d35c05218bc8b89d623680d322903732cf04|374836b5|1464|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
6662|108837|7172|668377|297891761|b9c69fcd2de338efca7c8872e3c72e96|66db653e5f01d5cafec81364bb2a1e98|3c386fabc1a4ebecc0eb53db004a3f6af1ae318d|cf03a9d7|1464|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
6662|108838|7172|670710|298165699|7204d7e6a48af7a3ae92e3fba4667301|303b4d3b5d68957de0aba49ab721bf60|ab9366462934471b540cfc574aa8318069faed8d|bd4a56eb|1464|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
6662|108839|7172|673602|297968103|baea3f22bf4e739197dd062fa4c8d4ee|6b22ce8493b3d5559cead5e8e1a2e064|d77fccd6bb3467238a427855b97b5913af90ee5f|f50ae335|1464|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
6662|108840|7172|676491|297731241|51969544d0f37313a47df3eacd400006|5ae35f5e03e374b297af7474aea4f29b|448859584360e95a894db666c90ca8bbc1b58d8e|c21a57cb|1464|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
6662|108841|7172|679002|297483056|88410172b33d03e7d220e509cbc06f61|d313e87508399e8fa8ce437870ca9843|8c1061c0e5b36e6cd5b832263e4e051f9878d21a|217ccf21|1464|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
6662|110729|7172|681974|295787855|97760584c87feb1ab3c96f6c513457a7|0af024c69fe7a4303db0259cf38ab768|5ef7cec98101c6bc80bd85bb4dd8262273b30748|b076e885|1464|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
6662|110728|7172|687864|298167891|cc7a5d056cd6b5458f769d0af7aee12f|7642b93bc28d26fe7da4b6e51b401fd6|b6b96c18f655ded32caec1d99c94c8b2663fe7e5|2c8eb7ad|1464|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
6662|110727|7172|691169|298214452|d8b65a33b05548d3e4a0f7b8ac775d8a|afa0bca960bcc43c1e743fda34c36782|b1da550736116e82c93b19cc5f398fc5cce4a98a|d4cd1f35|1464|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
6662|112185|7172|695216|298216760|553c10c0c67a17a68ed449c385574ac9|4a1d6be22f6da439124b463ed792043d|f85e15d4c34f7c493205d905ff9f2047f0f876be|1999a9f7|1464|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
6662|112184|7172|697349|297670016|bf90ee4b2c336ed870815879942c0a9f|02acc3d2890acff56fd81e49729fa9e5|b4457f45c9ef3afd670402859a4ddf8c58ce4baf|f0f8bbff|1464|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
6662|112982|7172|701880|298175539|952a6b5952e5834a6a75745f5557b617|97ede87eec022e7faa7efbc5fd5979d7|5bd559e0d62ff48b95923fdfb3cb2bdcc2e0bdb7|fd6790dd|1464|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
6662|112981|7172|704550|297215224|fa6deee6478be069d0634d28dcd01897|30d10a99159df3594eb375248676f861|4ddeeab152fe4d8e9d2f67b8f6c196d03cbad1fa|b59477fc|1464|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
6662|116144|7172|707510|297646911|58b62571ed6a504347404205cea18d20|f356f409dcc32c805f6ca2395394d309|42d59778cef5400752298663817045b36fc925fa|590c1b9c|1465|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
6662|116145|7172|709756|297610357|d18bd1824a5e96f79e50d0abbc176577|cfc0beebdff484776d2556205b2a3ad4|9aaf33fd304f5b6c939e5151aef8d987375bd7d9|4c0195ff|1464|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
6662|116334|7172|712108|297917435|eeb72a60f6a276bc900b4e19ad35abd0|bc9c395239f58f4d72456621d4729524|ba9ac371979ae252a30c8a935ae933bb99253ec1|1af17d77|1464|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
6662|116333|7172|714499|297598156|d17430f9e5f84f94eb39833535bd3fa3|07215d1c9f51a0a0df7d5643b42c29e8|3f2eb89373b0738fb4ae0b49ae5f3fcecd48e490|36a46066|1464|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
6662|116332|7172|717114|298176561|29a6c3bf0467a39b9fd421fdb7d5d108|252109fe7168b2d90f423285dae363ef|9cd54152ecde39f6d59336f03c91b2762b08d425|d8c04106|1465|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
6662|116331|7172|718816|297334444|d1966c490e36066c83b424ec72f7d09d|96cd771b99fb4f8506340d0ac46f2805|44fabd6dd87cfbe62b51f53e5ed45fa140af0989|4e330cf0|1465|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
6662|116763|7172|722311|298166371|80e5470a6f1403862e065b418bf978a6|7e7ce17edce14b5f2c14aa3d6780d58d|9101f396f09cbcd9c919ddda32f041ec32f66b0c|01d68fe9|1465|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
6662|117088|7172|729957|297692491|143d88c55c3c5cf7aac66d8124acd5ea|1335d2d72f482365b7ab9b365a4c6525|d7effe13e4d2918787db8dbea6fe53d448a958c3|d05636ed|1464|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
6662|117089|7172|729648|297683883|21f050e941a3914605290f1fd59c4524|0ff37c50f7b1c15ab3ce7924c8709beb|b4f25757e1f0a542bb054af71cc2f8d912a6f224|3937329d|1464|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|8|3|mkv
6662|117090|7172|731904|297748264|9476c33f880d8a39cb57b3299e925f5b|38bddca67664cb785787e77d7b2b388b|938065815bc73e7aeee00c9e14401d7979e73033|76d0cbc7|1464|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
6662|117985|7172|734214|298242249|5b3ee02a1c25a20d1989ca1ffd5df5a5|87fe8b1128cbd33d32927ac21956a144|b9a9ac78efd19b28fd573c93615a33336ad61279|11dd566b|1464|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
6662|118135|7172|736150|294999838|6b365928bf6c920b7a9eb014b7d50dc7|09ceb2697f6847a24cffd7b20b68328b|ffff8513e04e8814dbb58dfe8f9102fc6f4e96fb|7d2e2cb6|1464|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
6662|118136|7172|739228|296561273|ce1518d341e3eadaf26a789862638fc9|a2bb075e97cad3a3fbd46ed059d5a9e0|fa8701abc184be1d25d3c744c71f426fa412cbd7|d4f0997b|1464|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
6662|118137|7172|741232|296800511|8f01c0e0ddba22762fe22f78421bb5da|9dc0d07b72d7065c42a535f20df9c5f6|d47b8768a9795f16615e39659664a0caf72f206e|9d467df2|1464|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
6662|118138|7172|743418|296125383|c8d8f899acb6beb20f3c769d304457b7|ec3ee408633be52e85a8088a49f395dc|595c2c795a92a140e0f251dcd940479cca4a1942|59034620|1464|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
6662|118369|7172|745353|294196812|b9236022cd84a1fc4b4abc31e9f806eb|da73e08a61ed23b171e1c11ba62375c5|2d2718435737539c43bb19ba517f3d293323e8e4|24a77df0|1464|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
6662|118714|7172|749473|296479573|dde331895c3bc54d8580ce95c11d3f6e|591b16d41e7706646d226415b3fc9527|6a44737625f77e58d11125a923ddcd9d43a74d35|c1e1c4ec|1464|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
